Puesto,Empresa,Detalles,Enlace
Senior Data Engineer - Palantir Foundry,EPAM,12/03/2026 |  | Málaga | Programador,https://www.tecnoempleo.com/senior-data-engineer-palantir-foundry-epam/palantir-foundry-pyspark/rf-f07f10c762ebd3b3fe4d
Data Scientist MID,CMV Consultores,11/03/2026 |  | Barcelona (Híbrido) | Big Data | 33.000€ - 39.000€ b/a,https://www.tecnoempleo.com/data-scientist-mid-cmv-consultores/python-pandas/rf-86511707b2d7a3b7a44b
Data Scientist Analyst for Supply Chain,Accenture,09/03/2026 |  | Barcelona y otras | Big Data,https://www.tecnoempleo.com/data-scientist-analyst-for-supply-chain-accenture/python-sql/rf-9e391173a29f739fc94e
Data Analytics & IA Manager,Michael Page,09/03/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-analytics-ia-manager-michael-page/azure-ml-sagemaker/rf-a10c1341028993b19546
Data Analyst & Data Engineer,Michael Page,09/03/2026 |  | Barcelona | Big Data | 33.000€ - 42.000€ b/a,https://www.tecnoempleo.com/data-analyst-data-engineer-michael-page/power-bi-dax/rf-31da1b0fd2f67333ae4e
Data Scientist (end client company),Michael Page,06/03/2026 |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/data-scientist-end-client-company-michael-page/power-bi-qlikview/rf-5cf21e3382f983927847
Data Scientist sector financiero,Page Personnel,06/03/2026 |  | Madrid (Híbrido) | Big Data | 36.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-scientist-sector-financiero-page-personnel/python/rf-999013cf122c03523444
Data scientist,HAYS,06/03/2026 |  | Málaga (Híbrido) | Analista,https://www.tecnoempleo.com/data-scientist-hays/python-pandas/rf-47fe1cd3326b93a61640
AI Engineer (Generative AI & Data),GFR Technologies SE,06/03/2026 |  | Madrid (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/ai-engineer-generative-ai-data-gfr-technologies-se/python-tensorflow/rf-8b5a1483929883dc0344
Data Scientist para proyectos GNC,GMV,06/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/data-scientist-para-proyectos-gnc-gmv/python-opencv/rf-b5bc1af232f3a325fa47
Data Analyst,Veepee,05/03/2026 |  | Barcelona | Analista Programador,https://www.tecnoempleo.com/data-analyst-veepee/sql-dbt/rf-4a31123f129ef3139d41
Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,04/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46
Data Engineer,Second Window,04/03/2026 |  | 100% remoto | Big Data | 33.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-engineer-second-window/aws-python/rf-82141a0ce20e53d2f146
Data Scientist,Veepee,26/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-scientist-veepee/python-sql/rf-a5e91551029c4345b942
Data Scientist,WayOps,26/02/2026 |  | 100% remoto | Big Data,https://www.tecnoempleo.com/data-scientist-wayops/python-sklearn/rf-b1901557623be320e64a
Data Scientist - Python y Fabric,Page Personnel,20/02/2026 |  | Madrid (Presencial) | Big Data,https://www.tecnoempleo.com/data-scientist-python-fabric-page-personnel/machine-learning/rf-da9c1dbc52cd73c3bd49
Senior Data Scientist,Randstad ES,19/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/senior-data-scientist-randstad-es/python-azure/rf-4db11ed7a2d383f4ca45
Data Engineer,Unit8,18/02/2026 |  | Madrid y otras | Base de Datos/DBA | 54.000€ - 76.000€ b/a,https://www.tecnoempleo.com/data-engineer-unit8/python-foundry/rf-ee121bfb821173a75247
Data Scientist,Randstad ES,16/02/2026 |  | Barcelona | Big Data,https://www.tecnoempleo.com/data-scientist-randstad-es/php-sql/rf-ad671ec8e23ca3cdbc43
